111 0.29070469 23 0
112 0.05901924 13 0
113 0.28328453 11 0
114 0.46140509 19 0
115 0.15118643 11 0
116 0.03432039 79 0
117 0.39439513 10 0
118 0.29773759 11 0
119 0.36884735 10 0
120 0.45105858 18 0
121 0.08433903 19 0
122 0.28168385 11 0
123 0.14395927 15 0
124 0.22138161 10 0
125 0.14909715 11 0
126 0.23157064 10 0
127 0.16565007 19 0
128 0.12702403 23 0
129 0.34916596 27 0
130 0.39087318 14 0
131 0.21663757 19 0
132 0.07291053 25 0
133 0.46278961 23 0
134 0.36800580 25 0
135 0.43509858 23 0
136 0.51364018 19 0
137 0.04135300 44 0
138 0.34570736 25 0
139 0.21223074 23 0
140 0.28847243 25 0
141 0.21908201 25 0
142 0.29476407 19 0
143 0.09676195 18 0
144 0.24631093 18 0
145 0.03808797 81 0
146 0.75744340 27 0
147 0.15205271 27 0
148 0.30023597 30 0
149 0.09154386 15 0
150 0.03382222 51 0
151 0.06620236 11 0
152 0.14255780 14 0
153 0.38811621 20 0
154 0.03686359 37 0
155 0.16122932 30 0
156 0.08527484 23 0
157 0.15659021 18 0
158 0.07545541 13 0
159 0.46210189 13 0
160 0.14366534 13 0
161 0.36380493 18 0
162 0.37327882 19 0
163 0.23363745 26 0
164 0.09002603 24 0
165 0.47387627 26 0
166 0.37715603 15 0
167 0.44431746 11 0
168 0.53020344 26 0
169 0.03984522 49 0
170 0.35686214 11 0
171 0.22491502 15 0
172 0.30455606 13 0
173 0.23456920 13 0
174 0.31107807 10 0
175 0.07884133 25 0
176 0.08861149 17 0
177 0.30922514 18 0
178 0.43286394 27 0
179 0.17764733 11 0
180 0.03498670 21 0
181 0.41669058 15 0
182 0.32454825 15 0
183 0.39089901 17 0
184 0.46889839 14 0
185 0.05313422 20 0
186 0.30421191 11 0
187 0.17179377 15 0
188 0.24843870 13 0
189 0.17877936 21 0
190 0.25332166 10 0
191 0.13493901 27 0
192 0.05388905 17 0
193 0.27685841 16 0
194 0.46057237 19 0
195 0.14561368 30 0
196 0.03326499 81 0
197 0.38788903 26 0
198 0.29336382 27 0
199 0.36451250 16 0
200 0.44641963 28 0
201 0.08840625 19 0
202 0.27627560 28 0
203 0.13880465 23 0
204 0.21565981 16 0
205 0.14477565 17 0
206 0.22359251 10 0
207 0.16919214 19 0
208 0.14297290 16 0
209 0.08065872 19 0
210 0.65732339 16 0
211 0.05046944 16 0
212 0.19612977 11 0
213 0.19315854 29 0
214 0.10026097 21 0
215 0.16612056 29 0
216 0.24534120 29 0
217 0.28002682 11 0
218 0.07920964 19 0
219 0.05681307 10 0
220 0.03983943 58 0
221 0.05163997 16 0
222 0.04091913 97 0
223 0.36295424 11 0
224 0.10159540 10 0
225 0.12219136 23 0
226 0.60819445 15 0
227 0.03931405 53 0
228 0.15376076 15 0
229 0.23619513 23 0
230 0.13954657 23 0
231 0.21058636 23 0
232 0.28559455 23 0
233 0.23675324 15 0
234 0.12159341 23 0
235 0.02809534 60 0
236 0.06196975 16 0
237 0.02629842 40 0
238 0.07011690 30 0
239 0.31754441 15 0
240 0.68079009 28 0
241 0.46416148 22 0
242 1.19455611 22 1
243 0.59562291 22 0
244 0.73947233 17 0
245 0.36104040 17 0
246 0.43940428 28 0
247 0.37435965 22 0
248 0.30154189 13 0
249 0.82372349 20 0
250 0.46018512 22 0
